#			External									Internal
#				Major Dia		Pitch Dia		Minor Dia				Minor Dia		Pitch Dia		Major Dia
#Size mm	Thread Designation	Pitch mm	Class	Max	Min	Max	Min	Max	Min	 	Class	Min	Max	Min	Max	Min
# Source: https://web.archive.org/web/20200311203631/http://mdmetric.com:80/tech/thddat16.htm

8	TR8x1.5	1.5	7e	8	7.85	7.183	7.013	6.2	5.921	 	7H	6.5	6.69	7.25	7.474	8.3
9	TR9x1.5	1.5	7e	9	8.85	8.183	8.013	7.2	6.921	 	7H	7.5	7.69	8.25	8.474	9.3
9	TR9x2	2	7e	9	8.82	7.929	7.739	6.5	6.191	 	7H	7	7.236	8	8.25	9.5
10	TR10x1.5	1.5	7e	10	9.85	9.183	9.013	8.2	7.921	 	7H	8.5	8.69	9.25	9.474	10.3
10	TR10x2	2	7e	10	9.82	8.929	8.739	7.5	7.191	 	7H	8	8.236	9	9.25	10.5
11	TR11x2	2	7e	11	10.82	9.929	9.739	8.5	8.191	 	7H	9	9.236	10	10.25	11.5
11	TR11x3	3	7e	11	10.764	9.415	9.203	7.5	7.15	 	7H	8	8.315	9.5	9.78	11.5
12	TR12x2	2	7e	12	11.82	10.929	10.729	9.5	9.179	 	7H	10	10.236	11	11.265	12.5
12	TR12x3	3	7e	12	11.764	10.415	10.191	8.5	8.135	 	7H	9	9.315	10.5	10.8	12.5
14	TR14x2	2	7e	14	13.82	12.929	12.729	11.5	11.179	 	7H	12	12.236	13	13.265	14.5
14	TR14x3	3	7e	14	13.764	12.415	12.191	10.5	10.135	 	7H	11	11.315	12.5	12.8	14.5
16	TR16x2	2	7e	16	15.82	14.929	14.729	13.5	13.179	 	7H	14	14.236	15	15.265	16.5
16	TR16x3	3	7e	16	15.764	14.415	14.191	12.5	12.135	 	7H	13	13.315	14.5	14.8	16.5
16	TR16x4	4	7e	16	15.7	13.905	13.64	11.5	11.074	 	7H	12	12.375	14	14.355	16.5
18	TR18x2	2	7e	18	17.82	16.929	16.729	15.5	15.179	 	7H	16	16.236	17	17.265	18.5
18	TR18x3	3	7e	18	17.764	16.415	16.191	14.5	14.135	 	7H	15	15.315	16.5	16.8	18.5
18	TR18x4	4	7e	18	17.7	15.905	15.64	13.5	13.074	 	7H	14	14.375	16	16.355	18.5
20	TR20x2	2	7e	20	19.82	18.929	18.729	17.5	17.179	 	7H	18	18.236	19	19.265	20.5
20	TR20x3	3	7e	20	19.764	18.415	18.191	16.5	16.135	 	7H	17	17.315	18.5	18.8	20.5
20	TR20x4	4	7e	20	19.7	17.905	17.64	15.5	15.074	 	7H	16	16.375	18	18.355	20.5
22	TR22x3	3	7e	22	21.764	20.415	20.191	18.5	18.135	 	7H	19	19.315	20.5	20.8	22.5
22	TR22x5	5	7e	22	21.665	19.394	19.114	16.5	16.044	 	7H	17	17.45	19.5	19.875	22.5
22	TR22x8	8	7e	22	21.55	17.868	17.513	13.5	12.924	 	7H	14	14.63	18	18.475	22.5
24	TR24x3	3	7e	24	23.764	22.415	22.165	20.5	20.103	 	7H	21	21.315	22.5	22.835	24.5
24	TR24x5	5	7e	24	23.665	21.394	21.094	18.5	18.019	 	7H	19	19.45	21.5	21.9	24.5
24	TR24x8	8	7e	24	23.55	19.868	19.493	15.5	14.899	 	7H	16	16.63	20	20.5	24.5
26	TR26x3	3	7e	26	25.764	24.415	24.165	22.5	22.103	 	7H	23	23.315	24.5	24.835	26.5
26	TR26x5	5	7e	26	25.665	23.394	23.094	20.5	20.019	 	7H	21	21.45	23.5	23.9	26.5
26	TR26x8	8	7e	26	25.55	21.868	21.493	17.5	16.899	 	7H	18	18.63	22	22.5	26.5
28	TR28x3	3	7e	28	27.764	26.415	26.165	24.5	24.103	 	7H	25	25.315	26.5	26.835	28.5
28	TR28x5	5	7e	28	27.665	25.394	25.094	22.5	22.019	 	7H	23	23.45	25.5	25.9	28.5
28	TR28x8	8	7e	28	27.55	23.868	23.493	19.5	18.899	 	7H	20	20.63	24	24.5	28.5
30	TR30x3	3	7e	30	29.764	28.415	28.165	26.5	26.103	 	7H	27	27.315	28.5	28.835	30.5
30	TR30x6	6	7e	30	29.575	26.875	26.54	23	22.463	 	7H	24	24.56	27	27.45	31
30	TR30x10	10	7e	30	29.47	24.85	24.45	19	18.35	 	7H	20	20.71	25	25.53	31
32	TR32x3	3	7e	32	31.764	30.415	30.165	28.5	28.103	 	7H	29	29.315	30.5	30.835	32.5
32	TR32x6	6	7e	32	31.575	28.875	28.54	25	24.463	 	7H	26	26.56	29	29.45	33
32	TR32x10	10	7e	32	31.47	26.85	26.45	21	20.35	 	7H	22	22.71	27	27.53	33
34	TR34x3	3	7e	34	33.764	32.415	32.165	30.5	30.103	 	7H	31	31.315	32.5	32.835	34.5
34	TR34x6	6	7e	34	33.575	30.875	30.54	27	26.463	 	7H	28	28.56	31	31.45	35
34	TR34x10	10	7e	34	33.47	28.85	28.45	23	22.35	 	7H	24	24.71	29	29.53	35
36	TR36x3	3	7e	36	35.764	34.415	34.165	32.5	32.103	 	7H	33	33.315	34.5	34.835	36.5
36	TR36x6	6	7e	36	35.575	32.875	32.54	29	28.463	 	7H	30	30.56	33	33.45	37
36	TR36x10	10	7e	36	35.47	30.85	30.45	25	24.35	 	7H	26	26.71	31	31.53	37
38	TR38x3	3	7e	38	37.764	36.415	36.165	34.5	34.103	 	7H	35	35.315	36.5	36.835	38.5
38	TR38x7	7	7e	38	37.575	34.375	34.02	30	29.431	 	7H	31	31.56	34.5	34.975	39
38	TR38x10	10	7e	38	37.47	32.85	32.45	27	26.35	 	7H	28	28.71	33	33.53	39
40	TR40x3	3	7e	40	39.764	38.415	38.165	36.5	36.103	 	7H	37	37.315	38.5	38.835	40.5
40	TR40x7	7	7e	40	39.575	36.375	36.02	32	31.431	 	7H	33	33.56	36.5	36.975	41
40	TR40x10	10	7e	40	39.47	34.85	34.45	29	28.35	 	7H	30	30.71	35	35.53	41
42	TR42x3	3	7e	42	41.764	40.415	40.165	38.5	38.103	 	7H	39	39.315	40.5	40.835	42.5
42	TR42x7	7	7e	42	41.575	38.375	38.02	34	33.431	 	7H	35	35.56	38.5	38.975	43
42	TR42x10	10	7e	42	41.47	36.85	36.45	31	30.35	 	7H	32	32.71	37	37.53	43
44	TR44x3	3	7e	44	43.764	42.415	42.165	40.5	40.103	 	7H	41	41.315	42.5	42.835	44.5
44	TR44x7	7	7e	44	43.575	40.375	40.02	36	35.431	 	7H	37	37.56	40.5	40.975	45
44	TR44x12	12	7e	44	43.4	37.83	37.405	31	30.309	 	7H	32	32.8	38	38.56	45
46	TR46x3	3	7e	46	45.764	44.415	44.15	42.5	42.084	 	7H	43	43.315	44.5	44.855	46.5
46	TR46x8	8	7e	46	45.55	41.868	41.468	37	36.368	 	7H	38	38.63	42	42.53	47
46	TR46x12	12	7e	46	45.4	39.83	39.355	33	32.246	 	7H	34	34.8	40	40.63	47
48	TR48x3	3	7e	48	47.764	46.415	46.15	44.5	44.084	 	7H	45	45.315	46.5	46.855	48.5
48	TR48x8	8	7e	48	47.55	43.868	43.468	39	38.368	 	7H	40	40.63	44	44.53	49
48	TR48x12	12	7e	48	47.4	41.83	41.355	35	34.246	 	7H	36	36.8	42	42.63	49
50	TR50x3	3	7e	50	49.764	48.415	48.15	46.5	46.084	 	7H	47	47.315	48.5	48.855	50.5
50	TR50x8	8	7e	50	49.55	45.868	45.468	41	40.368	 	7H	42	42.63	46	46.53	51
50	TR50x12	12	7e	50	49.4	43.83	43.355	37	36.246	 	7H	38	38.8	44	44.63	51
52	TR52x3	3	7e	52	51.764	50.415	50.15	48.5	48.084	 	7H	49	49.315	50.5	50.855	52.5
52	TR52x8	8	7e	52	51.55	47.868	47.468	43	42.368	 	7H	44	44.63	48	48.53	53
52	TR52x12	12	7e	52	51.4	45.83	45.355	39	38.246	 	7H	40	40.8	46	46.63	53
55	TR55x3	3	7e	55	54.764	53.415	53.15	51.5	51.084	 	7H	52	52.315	53.5	53.855	55.5
55	TR55x9	9	7e	55	54.5	50.36	49.935	45	44.329	 	7H	46	46.67	50.5	51.06	56
55	TR55x14	14	7e	55	54.33	47.82	47.32	39	38.195	 	7H	41	41.9	48	48.67	57
60	TR60x3	3	7e	60	59.764	58.415	58.15	56.5	56.084	 	7H	57	57.315	58.5	58.855	60.5
60	TR60x9	9	7e	60	59.5	55.36	54.935	50	49.329	 	7H	51	51.67	55.5	56.06	61
60	TR60x14	14	7e	60	59.33	52.82	52.32	44	43.195	 	7H	46	46.9	53	53.67	62
65	TR65x4	4	7e	65	64.7	62.905	62.605	60.5	60.03	 	7H	61	61.375	63	63.4	65.5
65	TR65x10	10	7e	65	64.47	59.85	59.425	54	53.319	 	7H	55	55.71	60	60.56	66
65	TR65x16	16	7e	65	64.29	56.81	56.28	47	46.147	 	7H	49	50	57	57.71	67
70	TR70x4	4	7e	70	69.7	67.905	67.605	65.5	65.03	 	7H	66	66.375	68	68.4	70.5
70	TR70x10	10	7e	70	69.47	64.85	64.425	59	58.319	 	7H	60	60.71	65	65.56	71
70	TR70x16	16	7e	70	69.29	61.81	61.28	52	51.147	 	7H	54	55	62	62.71	72
75	TR75x4	4	7e	75	74.7	72.905	72.605	70.5	70.03	 	7H	71	71.375	73	73.4	75.5
75	TR75x10	10	7e	75	74.47	69.85	69.425	64	63.319	 	7H	65	65.71	70	70.56	76
75	TR75x16	16	7e	75	74.29	66.81	66.28	57	56.147	 	7H	59	60	67	67.71	77
80	TR80x4	4	7e	80	79.7	77.905	77.605	75.5	75.03	 	7H	76	76.375	78	78.4	80.5
80	TR80x10	10	7e	80	79.47	74.85	74.425	69	68.319	 	7H	70	70.71	75	75.56	81
80	TR80x16	16	7e	80	79.29	71.81	71.28	62	61.147	 	7H	64	65	72	72.71	82
85	TR85x4	4	7e	85	84.7	82.905	82.605	80.5	80.03	 	7H	81	81.375	83	83.4	85.5
85	TR85x12	12	7e	85	84.4	78.83	78.355	72	71.246	 	7H	73	73.8	79	79.63	86
85	TR85x18	18	7e	85	84.2	75.8	75.24	65	64.1	 	7H	67	68.12	76	76.75	87
90	TR90x4	4	7e	90	89.7	87.905	87.605	85.5	85.03	 	7H	86	86.375	88	88.4	90.5
90	TR90x12	12	7e	90	89.4	83.83	83.355	77	76.246	 	7H	78	78.8	84	84.63	91
90	TR90x18	18	7e	90	89.2	80.8	80.24	70	69.1	 	7H	72	73.12	81	81.75	92
95	TR95x4	4	7e	95	94.7	92.905	92.59	90.5	90.011	 	7H	91	91.375	93	93.425	95.5
95	TR95x12	12	7e	95	94.4	88.83	88.3	82	81.177	 	7H	83	83.8	89	89.71	96
95	TR95x18	18	7e	95	94.2	85.8	85.2	75	74.05	 	7H	77	78.12	86	86.8	97
100	TR100x4	4	7e	100	99.7	97.905	97.59	95.5	95.011	 	7H	96	96.375	98	98.425	100.5
100	TR100x12	12	7e	100	99.4	93.83	93.3	87	86.177	 	7H	88	88.8	94	94.71	101
100	TR100x20	20	7e	100	99.15	89.788	89.188	78	77.038	 	7H	80	81.18	90	90.8	102
105	TR105x4	4	7e	105	104.7	102.905	102.59	100.5	100.011	 	7H	101	101.375	103	103.425	105.5
