# 	ISO Metric profile			External (bolt thread)					Internal (nut thread)					Basic mm
#							Major Dia d=D	Pitch Dia d2=D2	Minor Dia d3		Minor Dia D1	Pitch Dia d2=D2	Major Dia d=D	
#Size	Designation	Simple Desig.	Pitch	Class	max	min	max	min	max	min	Class	min	max	min	max	min	max	Tap Drill
#1	2		3		4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
0.25	M0.25x0.075	M0.25x0.075	0.075	6g	0.25	0.235	0.201	0.187	0.16	0.14	6H	0.172	0.208	0.201	0.215	0.255	0.276	0.175
0.3	M0.3x0.08	M0.3x0.08	0.08	6g	0.3	0.284	0.248	0.234	0.204	0.183	6H	0.217	0.254	0.248	0.262	0.306	0.327	0.22
0.3	M0.3x0.09	M0.3x0.09	0.09	6g	0.3	0.283	0.242	0.226	0.192	0.17	6H	0.206	0.247	0.242	0.257	0.306	0.33	0.21
0.35	M0.35x0.09	M0.35x0.09	0.09	6g	0.35	0.333	0.292	0.277	0.242	0.22	6H	0.256	0.297	0.292	0.307	0.356	0.38	0.26
0.4	M0.4x0.1	M0.4x0.1	0.1	6g	0.4	0.382	0.335	0.319	0.28	0.256	6H	0.296	0.34	0.335	0.351	0.407	0.432	0.3
0.45	M0.45x0.1	M0.45x0.1	0.1	6g	0.45	0.432	0.385	0.369	0.33	0.306	6H	0.346	0.39	0.385	0.401	0.457	0.482	0.35
0.5	M0.5x0.125	M0.5x0.125	0.125	6g	0.5	0.479	0.419	0.401	0.35	0.322	6H	0.37	0.422	0.419	0.437	0.509	0.538	0.375
0.55	M0.55x0.125	M0.55x0.125	0.125	6g	0.55	0.529	0.469	0.451	0.4	0.372	6H	0.42	0.472	0.469	0.487	0.559	0.588	0.425
0.6	M0.6x0.15	M0.6x0.15	0.15	6g	0.6	0.576	0.503	0.483	0.42	0.388	6H	0.444	0.504	0.503	0.523	0.611	0.644	0.45
0.7	M0.7x0.175	M0.7x0.175	0.175	6g	0.7	0.673	0.586	0.564	0.49	0.454	6H	0.518	0.586	0.586	0.608	0.713	0.75	0.525
0.8	M0.8x0.2	M0.8x0.2	0.2	6g	0.8	0.77	0.67	0.646	0.56	0.52	6H	0.592	0.668	0.67	0.694	0.814	0.856	0.6
0.9	M0.9x0.225	M0.9x0.225	0.225	6g	0.9	0.867	0.754	0.728	0.63	0.586	6H	0.666	0.75	0.754	0.78	0.916	0.962	0.675
1	M1x0.25	M1	0.25	6g	0.982	0.915	0.82	0.767	0.711	0.613	6H	0.729	0.809	0.838	0.909	1	1.107	0.75
1	M1x0.2	M1x0.2	0.2	6g	0.983	0.927	0.853	0.805	0.766	0.682	6H	0.783	0.858	0.87	0.933	1	1.092	0.8
